effect,coef_fan,se_fan
intercept,-1.7687824664090546,0.04280143030813594
age,-0.007940437129095007,0.0008491417080557179
industry_Athlete,-0.0077253020868948315,0.02574238156307005
industry_Model,-0.2545092447398011,0.05909721084089779
industry_Singer/Rapper,-0.03789616469078971,0.02875622658466727
industry_TV Personality,-0.06766338802050967,0.027895832345586808
industry_News Anchor,-0.03644429516325158,0.1141819171957269
industry_Sports Broadcaster,0.18151974786247763,0.14330728924199423
industry_Beauty Pagent,-0.481135328364034,0.2913538877813614
industry_Racing Driver,0.08673678510809042,0.08743163768196549
industry_Magician,-0.6071081035137278,0.32530697061136055
industry_Radio Personality,-0.12495272779381543,0.11760516835858469
industry_Comedian,0.026262554856008785,0.06261558018237767
industry_Entrepreneur,-0.18706163272854817,0.1116000480644773
industry_Politician,-0.05407496737298847,0.12371917491921755
industry_Astronaut,-0.09027984619671853,0.28177560616596814
industry_Fashion Designer,-0.14332986476702878,0.23272343074823437
industry_Social Media Personality,-0.24103823580816156,0.06004659521778951
industry_Motivational Speaker,0.3120421516399581,0.1530025534770112
industry_Military,0.07113044066003954,0.14850473964925454
industry_Journalist,-0.40837343938733356,0.3274087377745533
industry_Musician,0.06240279720197034,0.14871154343106638
industry_Producer,-0.09182239303368346,0.1509926100525633
industry_Fitness Instructor,-0.07993968097568575,0.1483366058302682
industry_Con artist,-0.6501720321573065,0.34541547636343406
industry_Conservationist,-0.1369661979827586,0.18666319672853293
industry_Social media personality,-0.14090884007049154,0.1865246189249413
