season,week,rule,consistency,n_samples,n_attempts
17,6,percentage,,1000,1000
17,7,percentage,1.0,1000,7047
17,8,percentage,1.0,1000,6863
17,9,percentage,1.0,1000,8690
17,10,percentage,1.0,1000,4000
17,11,percentage,1.0,1000,3107
18,1,percentage,,1000,1000
18,2,percentage,1.0,1000,9093
18,3,percentage,,1000,1000
18,4,percentage,,1000,1000
18,5,percentage,1.0,1000,7169
18,6,percentage,1.0,1000,5154
18,7,percentage,1.0,1000,4640
18,8,percentage,1.0,1000,6259
18,9,percentage,1.0,1000,4801
18,10,percentage,1.0,1000,3938
19,1,percentage,1.0,1000,4780
19,2,percentage,1.0,1000,8604
19,3,percentage,1.0,1000,4580
19,4,percentage,1.0,1000,8428
19,5,percentage,,1000,1000
19,6,percentage,1.0,1000,9131
19,7,percentage,1.0,1000,5492
19,8,percentage,1.0,1000,2892
19,9,percentage,1.0,1000,5767
19,10,percentage,1.0,1000,3091
19,11,percentage,1.0,1000,3613
20,1,percentage,,1000,1000
20,2,percentage,1.0,1000,27602
20,3,percentage,1.0,1000,4285
20,4,percentage,1.0,1000,6951
20,5,percentage,1.0,1000,6812
20,6,percentage,1.0,1000,6742
20,7,percentage,1.0,1000,11402
20,8,percentage,1.0,1000,9092
20,9,percentage,1.0,1000,4335
20,10,percentage,,1000,1000
21,1,percentage,,1000,1000
21,2,percentage,1.0,1000,18524
21,3,percentage,,1000,1000
21,4,percentage,1.0,1000,3155
21,5,percentage,,1000,1000
21,6,percentage,1.0,1000,3176
21,7,percentage,1.0,1000,8858
21,8,percentage,1.0,1000,4186
21,9,percentage,1.0,1000,9349
21,10,percentage,,1000,1000
21,11,percentage,1.0,1000,4082
22,1,percentage,,1000,1000
22,2,percentage,1.0,1000,3042
22,3,percentage,1.0,1000,4500
22,4,percentage,1.0,1000,5918
22,5,percentage,,1000,1000
22,6,percentage,1.0,1000,4356
22,7,percentage,1.0,1000,23906
22,8,percentage,1.0,1000,8324
22,9,percentage,1.0,1000,10564
22,10,percentage,,1000,1000
23,1,percentage,,1000,1000
23,2,percentage,1.0,1000,7120
23,3,percentage,1.0,1000,5429
23,4,percentage,1.0,1000,24241
23,5,percentage,,1000,1000
23,6,percentage,1.0,1000,4434
23,7,percentage,1.0,1000,6446
23,8,percentage,1.0,1000,5320
23,9,percentage,1.0,1000,5015
23,10,percentage,1.0,1000,5436
23,11,percentage,1.0,1000,3295
24,1,percentage,,1000,1000
24,2,percentage,1.0,1000,4619
24,3,percentage,1.0,1000,5251
24,4,percentage,1.0,1000,4951
24,5,percentage,1.0,1000,6992
24,6,percentage,1.0,1000,16072
24,7,percentage,1.0,1000,18930
24,8,percentage,1.0,1000,2946
24,9,percentage,1.0,1000,4655
24,10,percentage,,1000,1000
25,1,percentage,,1000,1000
25,2,percentage,1.0,1000,32847
25,3,percentage,,1000,1000
25,4,percentage,1.0,1000,7167
25,5,percentage,1.0,1000,6806
25,6,percentage,1.0,1000,3723
25,7,percentage,1.0,1000,20420
25,8,percentage,1.0,1000,5421
25,9,percentage,1.0,1000,6029
25,10,percentage,1.0,1000,3576
26,1,percentage,1.0,1000,20054
26,2,percentage,1.0,1000,22947
26,3,percentage,1.0,1000,13132
26,4,percentage,,1000,1000
27,1,percentage,1.0,1000,7725
27,2,percentage,1.0,1000,5032
27,3,percentage,1.0,1000,7171
27,4,percentage,1.0,1000,33288
27,5,percentage,,1000,1000
27,6,percentage,1.0,1000,7971
27,7,percentage,1.0,1000,24294
27,8,percentage,1.0,1000,15551
27,9,percentage,,1000,1000
28,1,rank,,1000,1000
28,2,rank,0.754,1000,3268
28,3,rank,,1000,1000
28,4,rank,0.867,1000,2310
28,5,rank,,1000,1000
28,6,rank,0.617,1000,232218
28,7,rank,0.548,1000,4407
28,8,rank,1.0,1000,4536
28,9,rank,0.928,1000,1799
28,10,rank,1.0,1000,1571
28,11,rank,,1000,1000
29,1,rank,,1000,1000
29,2,rank,0.929,1000,2813
29,3,rank,0.777,1000,2793
29,4,rank,1.0,1000,6726
29,5,rank,1.0,1000,2584
29,6,rank,0.824,1000,3041
29,7,rank,0.836,1000,2313
29,8,rank,1.0,1000,4553
29,9,rank,0.78,1000,2630
29,10,rank,1.0,1000,5032
29,11,rank,,1000,1000
30,1,rank,,1000,1000
30,2,rank,1.0,1000,2867
30,3,rank,0.344,1000,103921
30,4,rank,1.0,1000,5574
30,5,rank,0.57,1000,12292
30,6,rank,0.779,1000,2332
30,7,rank,0.998,1000,2208
30,8,rank,0.922,1000,4103
30,9,rank,1.0,1000,8608
30,10,rank,,1000,1000
31,1,rank,1.0,1000,3590
31,2,rank,0.755,1000,3640
31,3,rank,1.0,1000,3582
31,4,rank,0.808,1000,2700
31,5,rank,0.999,1000,4857
31,6,rank,0.809,1000,2915
31,7,rank,0.979,1000,2904
31,8,rank,0.947,1000,3116
31,9,rank,1.0,1000,2201
31,10,rank,,1000,1000
32,1,rank,0.86,1000,4739
32,2,rank,1.0,1000,11724
32,3,rank,0.865,1000,2594
32,4,rank,0.612,1000,12854
32,5,rank,1.0,1000,4061
32,6,rank,0.471,1000,7353
32,7,rank,0.28,1000,75596
32,8,rank,1.0,1000,4218
32,9,rank,0.815,1000,1829
32,10,rank,,1000,1000
32,11,rank,,1000,1000
33,1,rank,,1000,1000
33,2,rank,1.0,1000,20204
33,3,rank,1.0,1000,4562
33,4,rank,0.649,1000,7249
33,5,rank,0.778,1000,2032
33,6,rank,0.168,1000,25830
33,7,rank,0.995,1000,1776
33,8,rank,,1000,1000
33,9,rank,,1000,1000
34,1,rank,,1000,1000
34,2,rank,1.0,1000,9304
34,3,rank,0.811,1000,3153
34,4,rank,0.584,1000,12689
34,5,rank,,1000,1000
34,6,rank,0.877,1000,3131
34,7,rank,0.605,1000,4505
34,8,rank,1.0,1000,2878
34,9,rank,0.781,1000,1879
34,10,rank,0.351,1000,10120
34,11,rank,,1000,1000
