season,consistency
1,0.5256666666666666
2,0.8698571428571429
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,0.8162857142857144
29,0.9051111111111112
30,0.8266249999999999
31,0.921888888888889
32,0.767
33,0.765
34,0.751125
