variant,r2_judge,r2_fan_or_pseudo,age_coef_judge,age_coef_fan,fan_type,n_judge,n_fan
Baseline,0.2659702640873367,0.05742605982813742,-0.031160495939873026,0.008170858055140374,proxy_z,2777,2777
Strategy A only,0.5515494299546007,0.05742605982813742,-0.013822768091512639,0.008170858055140374,proxy_z,2356,2777
Strategy B only,0.2659702640873367,0.034481882979934375,-0.031160495939873026,-0.028055098354313922,logit,2777,2777
Strategy A+B,0.5515494299546007,0.034481882979934375,-0.013822768091512639,-0.028055098354313922,logit,2356,2777
