season,week,rule,consistency,n_samples,n_attempts
18,7,percentage,1.0,800,3013
18,8,percentage,1.0,800,5230
18,9,percentage,1.0,800,3699
18,10,percentage,1.0,800,3330
19,1,percentage,1.0,800,3223
19,2,percentage,1.0,800,6825
19,3,percentage,1.0,800,2844
19,4,percentage,1.0,800,6917
19,5,percentage,,800,800
19,6,percentage,1.0,800,8284
19,7,percentage,1.0,800,3859
19,8,percentage,1.0,800,1979
19,9,percentage,1.0,800,4554
19,10,percentage,1.0,800,2144
19,11,percentage,1.0,800,2734
20,1,percentage,,800,800
20,2,percentage,1.0,800,40212
20,3,percentage,1.0,800,2943
20,4,percentage,1.0,800,5475
20,5,percentage,1.0,800,5531
20,6,percentage,1.0,800,4675
20,7,percentage,1.0,800,11842
20,8,percentage,1.0,800,6024
20,9,percentage,1.0,800,3357
20,10,percentage,,800,800
21,1,percentage,,800,800
21,2,percentage,1.0,800,10387
21,3,percentage,,800,800
21,4,percentage,1.0,800,2018
21,5,percentage,,800,800
21,6,percentage,1.0,800,1992
21,7,percentage,1.0,800,7624
21,8,percentage,1.0,800,2821
21,9,percentage,1.0,800,10373
21,10,percentage,,800,800
21,11,percentage,1.0,800,3505
22,1,percentage,,800,800
22,2,percentage,1.0,800,2026
22,3,percentage,1.0,800,3030
22,4,percentage,1.0,800,4611
22,5,percentage,,800,800
22,6,percentage,1.0,800,2520
22,7,percentage,1.0,800,15721
22,8,percentage,1.0,800,9051
22,9,percentage,1.0,800,8112
22,10,percentage,,800,800
23,1,percentage,,800,800
23,2,percentage,1.0,800,5369
23,3,percentage,1.0,800,3589
23,4,percentage,1.0,800,15597
23,5,percentage,,800,800
23,6,percentage,1.0,800,2701
23,7,percentage,1.0,800,4552
23,8,percentage,1.0,800,4095
23,9,percentage,1.0,800,3584
23,10,percentage,1.0,800,4883
23,11,percentage,1.0,800,2321
24,1,percentage,,800,800
24,2,percentage,1.0,800,2904
24,3,percentage,1.0,800,3734
24,4,percentage,1.0,800,3175
24,5,percentage,1.0,800,5301
24,6,percentage,1.0,800,21540
24,7,percentage,1.0,800,14061
24,8,percentage,1.0,800,2196
24,9,percentage,1.0,800,4374
24,10,percentage,,800,800
25,1,percentage,,800,800
25,2,percentage,1.0,800,22545
25,3,percentage,,800,800
25,4,percentage,1.0,800,4881
25,5,percentage,1.0,800,4751
25,6,percentage,1.0,800,2337
25,7,percentage,1.0,800,15404
25,8,percentage,1.0,800,4350
25,9,percentage,1.0,800,4872
25,10,percentage,1.0,800,2860
26,1,percentage,1.0,800,11046
26,2,percentage,1.0,800,18658
26,3,percentage,1.0,800,9989
26,4,percentage,,800,800
27,1,percentage,1.0,800,5653
27,2,percentage,1.0,800,3624
27,3,percentage,1.0,800,5248
27,4,percentage,1.0,800,50468
27,5,percentage,,800,800
27,6,percentage,1.0,800,6660
27,7,percentage,1.0,800,18057
27,8,percentage,1.0,800,14224
27,9,percentage,,800,800
28,1,rank,,800,800
28,2,rank,0.75125,800,2540
28,3,rank,,800,800
28,4,rank,0.8775,800,1782
28,5,rank,,800,800
28,6,rank,0.63,800,186952
28,7,rank,0.5575,800,3363
28,8,rank,1.0,800,3590
28,9,rank,0.9075,800,1378
28,10,rank,1.0,800,1316
28,11,rank,,800,800
29,1,rank,,800,800
29,2,rank,0.92,800,2239
29,3,rank,0.79875,800,2332
29,4,rank,1.0,800,5134
29,5,rank,1.0,800,2080
29,6,rank,0.81625,800,2545
29,7,rank,0.81125,800,1821
29,8,rank,1.0,800,3284
29,9,rank,0.75375,800,2039
29,10,rank,1.0,800,3962
29,11,rank,,800,800
30,1,rank,,800,800
30,2,rank,1.0,800,2235
30,3,rank,0.3625,800,79820
30,4,rank,1.0,800,4282
30,5,rank,0.62375,800,10247
30,6,rank,0.775,800,1946
30,7,rank,0.99625,800,1706
30,8,rank,0.93875,800,3528
30,9,rank,1.0,800,6991
30,10,rank,,800,800
31,1,rank,1.0,800,2871
31,2,rank,0.76,800,2962
31,3,rank,1.0,800,2882
31,4,rank,0.83375,800,2112
31,5,rank,1.0,800,3598
31,6,rank,0.82875,800,2261
31,7,rank,0.9825,800,2354
31,8,rank,0.955,800,2499
31,9,rank,1.0,800,1826
31,10,rank,,800,800
32,1,rank,0.86875,800,3858
32,2,rank,1.0,800,8636
32,3,rank,0.86875,800,2110
32,4,rank,0.625,800,10404
32,5,rank,1.0,800,3486
32,6,rank,0.4625,800,5805
32,7,rank,0.28375,800,57432
32,8,rank,1.0,800,3662
32,9,rank,0.775,800,1399
32,10,rank,,800,800
32,11,rank,,800,800
33,1,rank,,800,800
33,2,rank,1.0,800,15459
33,3,rank,1.0,800,3486
33,4,rank,0.60125,800,5886
33,5,rank,0.7625,800,1664
33,6,rank,0.1775,800,19842
33,7,rank,0.99875,800,1449
33,8,rank,,800,800
33,9,rank,,800,800
34,1,rank,,800,800
34,2,rank,1.0,800,7618
34,3,rank,0.81375,800,2630
34,4,rank,0.5625,800,10580
34,5,rank,,800,800
34,6,rank,0.85375,800,2584
34,7,rank,0.61375,800,3596
34,8,rank,1.0,800,2173
34,9,rank,0.75875,800,1585
34,10,rank,0.37125,800,7898
34,11,rank,,800,800
