pipeline,r2_judge,r2_fan_or_survival,age_coef_judge,age_coef_fan_or_survival,n_judge,n_survival
V3 (Judge lag + Survival),0.5515494299546007,0.818229318082181,-0.013822768091512639,0.0014567319098996222,2356.0,421.0
V2 (Judge + Fan proxy),0.2659702640873347,0.0574260598281388,-0.0311604959398732,0.0081708580551405,,
