model,r2,age_coef,se_age,lag_judge_z_coef,var_partner,mean_judge_z_coef
Judge,0.5515494299546007,-0.013822768091512639,0.0014072722296853343,0.5738714265603861,0.06541496514686558,
Survival,0.818229318082181,0.0014567319098996222,0.0007213179761443181,,0.013626392747790103,0.3109318762376071
