season,week,rule,consistency,n_samples,n_accepted,n_steps,accept_rate
12,8,percentage,1.0,1000,1276,2000,0.638
12,9,percentage,1.0,1000,1546,2000,0.773
12,10,percentage,,1000,2000,2000,1.0
13,1,percentage,1.0,1000,1294,2000,0.647
13,2,percentage,1.0,1000,893,2000,0.4465
13,3,percentage,1.0,1000,955,2000,0.4775
13,4,percentage,1.0,1000,1179,2000,0.5895
13,5,percentage,1.0,1000,1329,2000,0.6645
13,6,percentage,1.0,1000,1380,2000,0.69
13,7,percentage,1.0,1000,1220,2000,0.61
13,8,percentage,1.0,1000,1436,2000,0.718
13,9,percentage,1.0,1000,1533,2000,0.7665
13,10,percentage,,1000,2000,2000,1.0
14,1,percentage,,1000,2000,2000,1.0
14,2,percentage,1.0,1000,1266,2000,0.633
14,3,percentage,1.0,1000,1090,2000,0.545
14,4,percentage,1.0,1000,1145,2000,0.5725
14,5,percentage,1.0,1000,1422,2000,0.711
14,6,percentage,1.0,1000,1407,2000,0.7035
14,7,percentage,1.0,1000,1140,2000,0.57
14,8,percentage,1.0,1000,912,2000,0.456
14,9,percentage,1.0,1000,1323,2000,0.6615
14,10,percentage,,1000,2000,2000,1.0
15,1,percentage,1.0,1000,1289,2000,0.6445
15,2,percentage,1.0,1000,988,2000,0.494
15,3,percentage,1.0,1000,665,2000,0.3325
15,4,percentage,1.0,1000,1229,2000,0.6145
15,5,percentage,,1000,2000,2000,1.0
15,6,percentage,1.0,1000,984,2000,0.492
15,7,percentage,,1000,2000,2000,1.0
15,8,percentage,1.0,1000,893,2000,0.4465
15,9,percentage,1.0,1000,1004,2000,0.502
15,10,percentage,,1000,2000,2000,1.0
16,1,percentage,,1000,2000,2000,1.0
16,2,percentage,,1000,2000,2000,1.0
16,3,percentage,1.0,1000,1368,2000,0.684
16,4,percentage,1.0,1000,1246,2000,0.623
16,5,percentage,1.0,1000,1344,2000,0.672
16,6,percentage,1.0,1000,1362,2000,0.681
16,7,percentage,1.0,1000,1574,2000,0.787
16,8,percentage,1.0,1000,1449,2000,0.7245
16,9,percentage,1.0,1000,1411,2000,0.7055
16,10,percentage,1.0,1000,1332,2000,0.666
17,1,percentage,,1000,2000,2000,1.0
17,2,percentage,1.0,1000,1252,2000,0.626
17,3,percentage,1.0,1000,1425,2000,0.7125
17,4,percentage,1.0,1000,1367,2000,0.6835
17,5,percentage,1.0,1000,902,2000,0.451
17,6,percentage,,1000,2000,2000,1.0
17,7,percentage,1.0,1000,1097,2000,0.5485
17,8,percentage,1.0,1000,1089,2000,0.5445
17,9,percentage,1.0,1000,1019,2000,0.5095
17,10,percentage,1.0,1000,1303,2000,0.6515
17,11,percentage,1.0,1000,1470,2000,0.735
18,1,percentage,,1000,2000,2000,1.0
18,2,percentage,1.0,1000,1014,2000,0.507
18,3,percentage,,1000,2000,2000,1.0
18,4,percentage,,1000,2000,2000,1.0
18,5,percentage,1.0,1000,1108,2000,0.554
18,6,percentage,1.0,1000,1239,2000,0.6195
18,7,percentage,1.0,1000,1340,2000,0.67
18,8,percentage,1.0,1000,1146,2000,0.573
18,9,percentage,1.0,1000,1229,2000,0.6145
18,10,percentage,1.0,1000,1272,2000,0.636
19,1,percentage,1.0,1000,1300,2000,0.65
19,2,percentage,1.0,1000,1103,2000,0.5515
19,3,percentage,1.0,1000,1295,2000,0.6475
19,4,percentage,1.0,1000,1056,2000,0.528
19,5,percentage,,1000,2000,2000,1.0
19,6,percentage,1.0,1000,1053,2000,0.5265
19,7,percentage,1.0,1000,1168,2000,0.584
19,8,percentage,1.0,1000,1468,2000,0.734
19,9,percentage,1.0,1000,1160,2000,0.58
19,10,percentage,1.0,1000,1479,2000,0.7395
19,11,percentage,1.0,1000,1335,2000,0.6675
20,1,percentage,,1000,2000,2000,1.0
20,2,percentage,1.0,1000,740,2000,0.37
20,3,percentage,1.0,1000,1283,2000,0.6415
20,4,percentage,1.0,1000,1151,2000,0.5755
20,5,percentage,1.0,1000,1121,2000,0.5605
20,6,percentage,1.0,1000,1177,2000,0.5885
20,7,percentage,1.0,1000,1008,2000,0.504
20,8,percentage,1.0,1000,1121,2000,0.5605
20,9,percentage,1.0,1000,1278,2000,0.639
20,10,percentage,,1000,2000,2000,1.0
21,1,percentage,,1000,2000,2000,1.0
21,2,percentage,1.0,1000,871,2000,0.4355
21,3,percentage,,1000,2000,2000,1.0
21,4,percentage,1.0,1000,1452,2000,0.726
21,5,percentage,,1000,2000,2000,1.0
21,6,percentage,1.0,1000,1485,2000,0.7425
21,7,percentage,1.0,1000,1066,2000,0.533
21,8,percentage,1.0,1000,1289,2000,0.6445
21,9,percentage,1.0,1000,981,2000,0.4905
21,10,percentage,,1000,2000,2000,1.0
21,11,percentage,1.0,1000,1248,2000,0.624
22,1,percentage,,1000,2000,2000,1.0
22,2,percentage,1.0,1000,1402,2000,0.701
22,3,percentage,1.0,1000,1250,2000,0.625
22,4,percentage,1.0,1000,1175,2000,0.5875
22,5,percentage,,1000,2000,2000,1.0
22,6,percentage,1.0,1000,1372,2000,0.686
22,7,percentage,1.0,1000,820,2000,0.41
22,8,percentage,1.0,1000,1041,2000,0.5205
22,9,percentage,1.0,1000,996,2000,0.498
22,10,percentage,,1000,2000,2000,1.0
23,1,percentage,,1000,2000,2000,1.0
23,2,percentage,1.0,1000,1120,2000,0.56
23,3,percentage,1.0,1000,1184,2000,0.592
23,4,percentage,1.0,1000,843,2000,0.4215
23,5,percentage,,1000,2000,2000,1.0
23,6,percentage,1.0,1000,1251,2000,0.6255
23,7,percentage,1.0,1000,1143,2000,0.5715
23,8,percentage,1.0,1000,1190,2000,0.595
23,9,percentage,1.0,1000,1270,2000,0.635
23,10,percentage,1.0,1000,1214,2000,0.607
23,11,percentage,1.0,1000,1443,2000,0.7215
24,1,percentage,,1000,2000,2000,1.0
24,2,percentage,1.0,1000,1270,2000,0.635
24,3,percentage,1.0,1000,1140,2000,0.57
24,4,percentage,1.0,1000,1247,2000,0.6235
24,5,percentage,1.0,1000,1115,2000,0.5575
24,6,percentage,1.0,1000,916,2000,0.458
24,7,percentage,1.0,1000,873,2000,0.4365
24,8,percentage,1.0,1000,1407,2000,0.7035
24,9,percentage,1.0,1000,1219,2000,0.6095
24,10,percentage,,1000,2000,2000,1.0
25,1,percentage,,1000,2000,2000,1.0
25,2,percentage,1.0,1000,764,2000,0.382
25,3,percentage,,1000,2000,2000,1.0
25,4,percentage,1.0,1000,1038,2000,0.519
25,5,percentage,1.0,1000,1170,2000,0.585
25,6,percentage,1.0,1000,1414,2000,0.707
25,7,percentage,1.0,1000,854,2000,0.427
25,8,percentage,1.0,1000,1197,2000,0.5985
25,9,percentage,1.0,1000,1115,2000,0.5575
25,10,percentage,1.0,1000,1378,2000,0.689
26,1,percentage,1.0,1000,785,2000,0.3925
26,2,percentage,1.0,1000,772,2000,0.386
26,3,percentage,1.0,1000,966,2000,0.483
26,4,percentage,,1000,2000,2000,1.0
27,1,percentage,1.0,1000,1090,2000,0.545
27,2,percentage,1.0,1000,1197,2000,0.5985
27,3,percentage,1.0,1000,1127,2000,0.5635
27,4,percentage,1.0,1000,740,2000,0.37
27,5,percentage,,1000,2000,2000,1.0
27,6,percentage,1.0,1000,1041,2000,0.5205
27,7,percentage,1.0,1000,798,2000,0.399
27,8,percentage,1.0,1000,875,2000,0.4375
27,9,percentage,,1000,2000,2000,1.0
28,1,rank,,1000,2000,2000,1.0
28,2,rank,0.759,1000,1351,2000,0.6755
28,3,rank,,1000,2000,2000,1.0
28,4,rank,0.908,1000,1499,2000,0.7495
28,5,rank,,1000,2000,2000,1.0
28,6,rank,0.701,1000,202,2000,0.101
28,7,rank,0.522,1000,1176,2000,0.588
28,8,rank,1.0,1000,1177,2000,0.5885
28,9,rank,0.902,1000,1556,2000,0.778
28,10,rank,1.0,1000,1644,2000,0.822
28,11,rank,,1000,2000,2000,1.0
29,1,rank,,1000,2000,2000,1.0
29,2,rank,0.931,1000,1399,2000,0.6995
29,3,rank,0.808,1000,1417,2000,0.7085
29,4,rank,1.0,1000,1059,2000,0.5295
29,5,rank,1.0,1000,1346,2000,0.673
29,6,rank,0.861,1000,1405,2000,0.7025
29,7,rank,0.847,1000,1515,2000,0.7575
29,8,rank,1.0,1000,984,2000,0.492
29,9,rank,0.811,1000,1438,2000,0.719
29,10,rank,1.0,1000,1140,2000,0.57
29,11,rank,,1000,2000,2000,1.0
30,1,rank,,1000,2000,2000,1.0
30,2,rank,1.0,1000,1382,2000,0.691
30,3,rank,0.425,1000,602,2000,0.301
30,4,rank,1.0,1000,1071,2000,0.5355
30,5,rank,0.36,1000,381,2000,0.1905
30,6,rank,0.783,1000,1512,2000,0.756
30,7,rank,1.0,1000,1558,2000,0.779
30,8,rank,0.932,1000,1250,2000,0.625
30,9,rank,1.0,1000,932,2000,0.466
30,10,rank,,1000,2000,2000,1.0
31,1,rank,1.0,1000,1321,2000,0.6605
31,2,rank,0.774,1000,1311,2000,0.6555
31,3,rank,1.0,1000,1334,2000,0.667
31,4,rank,0.868,1000,1444,2000,0.722
31,5,rank,0.999,1000,1239,2000,0.6195
