j_tercile,Low,Mid,High
Low,0.8276374442793462,0.9658119658119658,1.0
Mid,0.7467248908296943,0.9675675675675676,0.9645390070921985
High,0.5416666666666666,0.7720588235294118,0.8851174934725848
