j_tercile,Low,Mid,High
Low,0.8306092124814265,0.9444444444444444,1.0
Mid,0.7379912663755459,0.9765765765765766,0.9645390070921985
High,0.20833333333333334,0.7573529411764706,0.8981723237597912
