Industry,Judge,Fan
Athlete,-0.15799961352773279,0.07572453368808452
Comedian,-0.20721849656761343,0.33052600395688886
Host,-0.0886152074079597,-0.02508920342226227
Model,-0.5646764561012214,-0.14810084955230532
Musician,-0.03173641724053868,-0.06378383127431779
Other,-0.2770450450131717,0.215816594433547
Reality TV,-0.3258911113855758,0.18075612160481616
Social Media,-0.1844302317892878,-0.033344226351920664
