pipeline,method,n,age_coef_judge,age_coef_fan,var_partner_judge,var_partner_fan,r2_judge,r2_fan
Original (fan estimates),OLS_LSDV,2777,-0.031160495939873224,-0.008913497788243152,0.3022035584615336,0.07237675846635735,0.2659702640873347,0.1174877943011583
Improved V2 (fan proxy),OLS_LSDV,2777,-0.031160495939873224,0.008170858055140581,0.3022035584615336,0.09511500635403637,0.2659702640873347,0.057426059828138865
