Industry,Judge,Fan
Athlete,-0.15799961352773279,-0.009322280396238721
Comedian,-0.20721849656761343,0.03538838714214141
Host,-0.0886152074079597,-0.03871597044421379
Model,-0.5646764561012214,-0.2808412561910667
Musician,-0.03173641724053868,-0.03709107870120252
Other,-0.2770450450131717,-0.020808822772923195
Reality TV,-0.3258911113855758,-0.054210196121396506
Social Media,-0.1844302317892878,-0.23974494071794286
