survival_model,pseudo_r2,auc,aic,bic
Logit (baseline),0.03448188297993415,0.6271756751852047,2421.624028275094,2836.6628823865703
Logit + judge_z² (safe zone),0.04543446878298574,0.6625137618008703,2397.741880131552,2818.709860730335
Logit + Age×Week (veteran),0.2684150146758325,0.8458496828232562,1872.8146662567624,2299.711773342852
Logit full (nonlinear + Age×Week),0.27359891978027195,0.8479326044787856,1862.5645362611785,2295.3907698345747
