week,marginal_effect_age,se,ci_95_low,ci_95_high
1.0,-0.021623965369491092,0.010324718739479594,-0.0418604140988711,-0.0013875166401110875
2.0,-0.02118550284471885,0.00895658025781866,-0.038740400150043416,-0.003630605539394278
3.0,-0.02074704031994661,0.007809218978546169,-0.0360531095178971,-0.005440971121996117
4.0,-0.02030857779517437,0.006992176375762929,-0.03401324349166971,-0.0066039120986790285
5.0,-0.019870115270402125,0.006628741823258888,-0.032862449243989546,-0.006877781296814706
6.0,-0.019431652745629885,0.0067921251551939735,-0.03274421804981007,-0.006119087441449697
7.0,-0.018993190220857645,0.007447735787671903,-0.033590752364694575,-0.004395628077020715
8.0,-0.0185547276960854,0.008482194932732428,-0.03517982976424096,-0.0019296256279298443
9.0,-0.01811626517131316,0.009775968067947408,-0.037277162584490084,0.0010446322418637584
10.0,-0.017677802646540917,0.01123986346576042,-0.03970793503943135,0.0043523297463495085
