judge_z,predicted_prob
-2.5,0.7911966979068003
-2.466442953020134,0.8028780968605737
-2.4328859060402683,0.8139963466350307
-2.3993288590604025,0.8245640713041573
-2.365771812080537,0.8345957118647558
-2.3322147651006713,0.8441071957385455
-2.2986577181208054,0.8531156297869181
-2.2651006711409396,0.8616390188748163
-2.2315436241610738,0.8696960110608852
-2.197986577181208,0.877305669684781
-2.164429530201342,0.8844872719660002
-2.1308724832214763,0.8912601332128152
-2.097315436241611,0.8976434553519894
-2.063758389261745,0.9036561982148972
-2.030201342281879,0.9093169718374536
-1.9966442953020134,0.9146439479340339
-1.9630872483221475,0.9196547886741475
-1.929530201342282,0.9243665909111765
-1.895973154362416,0.9287958440726488
-1.8624161073825505,0.9329584000105391
-1.8288590604026846,0.9368694532189499
-1.7953020134228188,0.9405435299477031
-1.761744966442953,0.9439944848678413
-1.7281879194630871,0.9472355040740335
-1.6946308724832215,0.9502791133357964
-1.6610738255033557,0.9531371906316155
-1.62751677852349,0.9558209821155735
-1.5939597315436242,0.9583411207738284
-1.5604026845637584,0.9607076471274345
-1.5268456375838926,0.962930031428357
-1.4932885906040267,0.9650171968770512
-1.4597315436241611,0.9669775434629315
-1.4261744966442953,0.96881897209382
-1.3926174496644295,0.9705489087375692
-1.3590604026845639,0.9721743283490313
-1.325503355704698,0.9737017783990426
-1.2919463087248322,0.9751374018596616
-1.2583892617449663,0.9764869595321899
-1.2248322147651007,0.9777558516320408
-1.191275167785235,0.9789491385678675
-1.157718120805369,0.9800715608720201
-1.1241610738255035,0.9811275582558078
-1.0906040268456376,0.9821212877766445
-1.0570469798657718,0.9830566411153031
-1.023489932885906,0.9839372609705612
-0.9899328859060403,0.9847665565857573
-0.9563758389261745,0.9855477184274872
-0.9228187919463087,0.9862837320410718
-0.8892617449664431,0.9869773911107186
-0.8557046979865772,0.9876313097546824
-0.8221476510067114,0.9882479340873248
-0.7885906040268456,0.9888295530809486
-0.7550335570469799,0.9893783087607193
-0.7214765100671141,0.9898962057660076
-0.6879194630872483,0.9903851203111664
-0.6543624161073824,0.9908468085781574
-0.6208053691275168,0.9912829145726388
-0.587248322147651,0.9916949774741642
-0.5536912751677852,0.9920844385100474
-0.5201342281879195,0.9924526473812932
-0.4865771812080535,0.9928008682677587
-0.4530201342281881,0.9931302854384583
-0.41946308724832226,0.9934420084916636
-0.38590604026845643,0.9937370772481774
-0.3523489932885906,0.9940164663199229
-0.31879194630872476,0.9942810893747606
-0.2852348993288589,0.9945318031172591
-0.2516778523489931,0.9947694110040042
-0.2181208053691277,0.9949946667109099
-0.18456375838926187,0.9952082773689477
-0.15100671140939603,0.9954109065836944
-0.1174496644295302,0.995603177253128
-0.08389261744966436,0.9957856741971953
-0.05033557046979853,0.9959589466117971
-0.016778523489932695,0.9961235103590284
0.016778523489932695,0.9962798501047244
0.05033557046979853,0.9964284213136464
0.08389261744966436,0.9965696521119437
0.1174496644295302,0.9967039450259
0.15100671140939603,0.9968316786053468
0.18456375838926187,0.9969532089395853
0.2181208053691277,0.9970688710731037
0.2516778523489931,0.9971789803279001
0.2852348993288589,0.9972838335387451
0.31879194630872476,0.997383710207292
0.3523489932885906,0.9974788735805347
0.38590604026845643,0.9975695716587355
0.41946308724832226,0.9976560381375976
0.4530201342281881,0.9977384932891217
0.4865771812080535,0.997817144785288
0.5201342281879193,0.9978921884684134
0.5536912751677852,0.997963809071771
0.587248322147651,0.9980321808938156
0.6208053691275168,0.9980974684291205
0.6543624161073827,0.9981598269589231
0.6879194630872485,0.9982194031039778
0.7214765100671139,0.9982763353422249
0.7550335570469797,0.9983307544936139
0.7885906040268456,0.9983827841742614
0.8221476510067114,0.9984325412219721
0.8557046979865772,0.9984801360950084
0.8892617449664431,0.9985256732458764
0.9228187919463089,0.998569251471762
0.9563758389261747,0.998610964243151
0.9899328859060401,0.998650900012053
1.023489932885906,0.9986891425011618
1.0570469798657718,0.9987257709751853
1.0906040268456376,0.9987608604955036
1.1241610738255035,0.9987944821592273
1.1577181208053693,0.9988267033236622
1.1912751677852351,0.9988575878171164
1.2248322147651005,0.9988871961369221
1.2583892617449663,0.9989155856354867
1.2919463087248322,0.9989428106951354
1.325503355704698,0.9989689228924539
1.3590604026845639,0.9989939711527935
1.3926174496644297,0.9990180018955584
1.4261744966442955,0.9990410591708522
1.459731543624161,0.9990631847880211
1.4932885906040267,0.9990844184366047
1.526845637583893,0.9991047978001557
1.5604026845637584,0.9991243586633769
1.5939597315436238,0.9991431350129824
1.62751677852349,0.9991611591326687
1.6610738255033555,0.9991784616925565
1.6946308724832218,0.9991950718334359
1.7281879194630871,0.9992110172461345
1.7617449664429534,0.9992263242462979
1.7953020134228188,0.9992410178448607
1.8288590604026842,0.9992551218144642
1.8624161073825505,0.9992686587520617
1.8959731543624159,0.9992816501379391
1.9295302013422821,0.9992941163913583
1.9630872483221475,0.9993060769230244
1.9966442953020138,0.9993175501845598
2.030201342281879,0.9993285537151592
2.0637583892617446,0.9993391041855895
2.097315436241611,0.9993492174396822
2.1308724832214763,0.9993589085334664
2.1644295302013425,0.9993681917720709
2.197986577181208,0.9993770807445238
2.231543624161074,0.9993855883565637
2.2651006711409396,0.9993937268615761
2.298657718120805,0.999401507889753
2.3322147651006713,0.9994089424755761
2.3657718120805367,0.9994160410837097
2.399328859060403,0.999422813633392
2.4328859060402683,0.9994292695214005
2.4664429530201346,0.9994354176436658
2.5,0.9994412664156044
